***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_server_037.out:                89, 88.64,  72.7 | 19.72, 20.36, 48.68
bimodal-copy_server_038.out:             86.91, 86.32,  69.9 | 23.28, 24.24, 53.32
bimodal-copy_server_039.out:             82.37, 81.26, 66.67 | 29.42, 31.28,  55.6
bimodal-copy_spec_gcc_001.out:           93.48, 91.46,  89.4 | 19.38, 25.38,  31.5
bimodal-copy_spec_gcc_002.out:           82.93, 78.68, 71.54 | 40.18, 50.24, 67.08
bimodal-copy_spec_gcc_003.out:           86.57, 83.17, 78.48 | 31.42,  39.4, 50.36
bimodal-copy_spec_gobmk_001.out:         85.04, 83.98, 77.56 | 24.76, 26.54, 37.12
bimodal-copy_spec_gobmk_002.out:         81.82,  79.4, 75.49 | 32.12, 36.38, 43.32
bimodal-copy_spec_perlbench_001.out:     95.52, 97.91, 97.69 | 8.059,  3.76,  4.16
bimodal-copy_spec_x264_001.out:          85.81, 78.82, 82.15 |  5.16,   7.7,  6.48
gshare-copy_client_001.out:              87.41, 87.41, 87.41 |  24.7,  24.7,  24.7
gshare-copy_client_002.out:              87.94, 87.94, 87.94 | 21.78, 21.78, 21.78
gshare-copy_client_003.out:              87.57, 87.57, 87.57 |  21.8,  21.8,  21.8
gshare-copy_client_004.out:              94.99, 94.99, 94.99 |  7.44,  7.44,  7.44
gshare-copy_client_005.out:              89.02, 89.02, 89.02 |  20.9,  20.9,  20.9
gshare-copy_client_006.out:              86.89, 86.89, 86.89 | 22.04, 22.04, 22.04
gshare-copy_client_007.out:              83.21, 83.21, 83.21 | 24.64, 24.64, 24.64
gshare-copy_client_008.out:              80.26, 80.26, 80.26 | 48.16, 48.16, 48.16
gshare-copy_server_001.out:              85.01, 85.01, 85.01 | 26.86, 26.86, 26.86
gshare-copy_server_002.out:              85.39, 85.39, 85.39 | 18.38, 18.38, 18.38
gshare-copy_server_003.out:              91.03, 91.03, 91.03 |  17.1,  17.1,  17.1
gshare-copy_server_004.out:              88.62, 88.62, 88.62 |  21.8,  21.8,  21.8
gshare-copy_server_009.out:              83.03, 83.03, 83.03 | 33.14, 33.14, 33.14
gshare-copy_server_010.out:              91.33, 91.33, 91.33 |  16.6,  16.6,  16.6
gshare-copy_server_011.out:              97.07, 97.07, 97.07 |   5.7,   5.7,   5.7
