***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
bimodal-copy_server_037.out:             82.28, 88.64,  72.7 |  31.8, 20.36, 48.68
bimodal-copy_server_038.out:             80.46, 86.32,  69.9 | 34.82, 24.24, 53.32
bimodal-copy_server_039.out:              78.4, 81.26, 66.67 | 36.04, 31.28,  55.6
bimodal-copy_spec_gcc_001.out:           91.89, 91.46,  89.4 | 24.12, 25.38,  31.5
bimodal-copy_spec_gcc_002.out:           79.83, 78.68, 71.54 | 47.48, 50.24, 67.08
bimodal-copy_spec_gcc_003.out:           83.26, 83.17, 78.48 | 39.16,  39.4, 50.36
bimodal-copy_spec_gobmk_001.out:         84.42, 83.98, 77.56 | 25.78, 26.54, 37.12
bimodal-copy_spec_gobmk_002.out:         81.93,  79.4, 75.49 | 31.96, 36.38, 43.32
bimodal-copy_spec_perlbench_001.out:     96.83, 97.91, 97.69 |   5.7,  3.76,  4.16
bimodal-copy_spec_x264_001.out:          84.38, 78.82, 82.15 |  5.68,   7.7,  6.48
gshare-copy_client_001.out:              87.41, 87.41, 87.41 |  24.7,  24.7,  24.7
gshare-copy_client_002.out:              87.94, 87.94, 87.94 | 21.78, 21.78, 21.78
gshare-copy_client_003.out:              87.57, 87.57, 87.57 |  21.8,  21.8,  21.8
gshare-copy_client_004.out:              94.99, 94.99, 94.99 |  7.44,  7.44,  7.44
gshare-copy_client_005.out:              89.02, 89.02, 89.02 |  20.9,  20.9,  20.9
gshare-copy_client_006.out:              86.89, 86.89, 86.89 | 22.04, 22.04, 22.04
gshare-copy_client_007.out:              83.21, 83.21, 83.21 | 24.64, 24.64, 24.64
gshare-copy_client_008.out:              80.26, 80.26, 80.26 | 48.16, 48.16, 48.16
gshare-copy_server_001.out:              85.01, 85.01, 85.01 | 26.86, 26.86, 26.86
gshare-copy_server_002.out:              85.39, 85.39, 85.39 | 18.38, 18.38, 18.38
gshare-copy_server_003.out:              91.03, 91.03, 91.03 |  17.1,  17.1,  17.1
gshare-copy_server_004.out:              88.62, 88.62, 88.62 |  21.8,  21.8,  21.8
gshare-copy_server_009.out:              83.03, 83.03, 83.03 | 33.14, 33.14, 33.14
gshare-copy_server_010.out:              91.33, 91.33, 91.33 |  16.6,  16.6,  16.6
gshare-copy_server_011.out:              97.07, 97.07, 97.07 |   5.7,   5.7,   5.7
gshare-copy_server_012.out:              91.29, 91.29, 91.29 | 16.62, 16.62, 16.62
gshare-copy_server_013.out:              88.68, 88.68, 88.68 | 21.84, 21.84, 21.84
gshare-copy_server_014.out:              83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
gshare-copy_server_015.out:              83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
gshare-copy_server_016.out:               58.6,  58.6,  58.6 | 78.42, 78.42, 78.42
gshare-copy_server_017.out:              86.22, 86.22, 86.22 | 23.18, 23.18, 23.18
gshare-copy_server_018.out:              93.82, 93.82, 93.82 |   9.8,   9.8,   9.8
gshare-copy_server_019.out:              88.31, 88.31, 88.31 | 18.32, 18.32, 18.32
gshare-copy_server_020.out:              92.03, 92.03, 92.03 | 13.46, 13.46, 13.46
gshare-copy_server_021.out:              93.45, 93.45, 93.45 |  10.5,  10.5,  10.5
gshare-copy_server_022.out:               95.9,  95.9,  95.9 |  6.94,  6.94,  6.94
gshare-copy_server_023.out:              57.15, 57.15, 57.15 | 79.68, 79.68, 79.68
gshare-copy_server_024.out:              65.51, 65.51, 65.51 | 65.82, 65.82, 65.82
gshare-copy_server_025.out:              56.23, 56.23, 56.23 | 80.52, 80.52, 80.52
gshare-copy_server_026.out:              59.22, 59.22, 59.22 | 75.28, 75.28, 75.28
gshare-copy_server_027.out:              54.09, 54.09, 54.09 | 84.71, 84.71, 84.71
gshare-copy_server_028.out:              56.04, 56.04, 56.04 |  82.2,  82.2,  82.2
gshare-copy_server_029.out:              55.97, 55.97, 55.97 |  82.2,  82.2,  82.2
gshare-copy_server_030.out:              55.61, 55.61, 55.61 |  82.6,  82.6,  82.6
gshare-copy_server_031.out:              53.99, 53.99, 53.99 | 85.46, 85.46, 85.46
gshare-copy_server_032.out:               53.6,  53.6,  53.6 | 85.54, 85.54, 85.54
gshare-copy_server_033.out:              71.92, 71.92, 71.92 | 53.24, 53.24, 53.24
gshare-copy_server_034.out:              72.27, 72.27, 72.27 |  52.6,  52.6,  52.6
gshare-copy_server_035.out:              73.75, 73.75, 73.75 |    50,    50,    50
gshare-copy_server_036.out:              88.39, 88.39, 88.39 |  18.9,  18.9,  18.9
gshare-copy_server_037.out:              88.64, 88.64, 88.64 | 20.36, 20.36, 20.36
gshare-copy_server_038.out:              86.32, 86.32, 86.32 | 24.24, 24.24, 24.24
gshare-copy_server_039.out:              81.26, 81.26, 81.26 | 31.28, 31.28, 31.28
gshare-copy_spec_gcc_001.out:            91.46, 91.46, 91.46 | 25.38, 25.38, 25.38
gshare-copy_spec_gcc_002.out:            78.68, 78.68, 78.68 | 50.24, 50.24, 50.24
gshare-copy_spec_gcc_003.out:            83.17, 83.17, 83.17 |  39.4,  39.4,  39.4
gshare-copy_spec_gobmk_001.out:          83.98, 83.98, 83.98 | 26.54, 26.54, 26.54
gshare-copy_spec_gobmk_002.out:           79.4,  79.4,  79.4 | 36.38, 36.38, 36.38
gshare-copy_spec_perlbench_001.out:      97.91, 97.91, 97.91 |  3.76,  3.76,  3.76
gshare-copy_spec_x264_001.out:           78.82, 78.82, 78.82 |   7.7,   7.7,   7.7
LSTM_client_001.out:                     87.41, 87.41, 87.41 |  24.7,  24.7,  24.7
LSTM_client_002.out:                     87.94, 87.94, 87.94 | 21.78, 21.78, 21.78
LSTM_client_003.out:                     87.57, 87.57, 87.57 |  21.8,  21.8,  21.8
LSTM_client_004.out:                     94.99, 94.99, 94.99 |  7.44,  7.44,  7.44
